sector,name,share,alphaV,direct_mc,network_mc,total_mc,amp_ratio,mc_irf,y_irf,ph_irf,yi_ss
1,Agropecuario-silvicola y Pesca,0.4644583077058255,0.11267980737410566,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.24369941623294622
2,Mineria,0.23759931286235775,0.10202911974240136,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.5966755000289448
3,Industria manufacturera,0.454177121085401,0.2823842734252001,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.1601733507859304
4,Electricidad gas agua y gestion de desechos,0.14003387916431395,0.33372064900528253,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.16744239783588838
5,Construccion,0.5624620815178424,0.10854391091259312,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.10081409857214112
6,Comercio hoteles y restaurantes,0.27242295237055636,0.08441042852410598,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.08290170213859395
7,Transporte comunicaciones y servicios de informacion,0.2675752121367961,0.16349121658596374,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.33760372851896464
8,Intermediacion financiera,0.04080932784636488,0.09682701332741028,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.17382446657548006
9,Servicios inmobiliarios y de vivienda,0.011159824631327222,0.014781863793062849,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.1523281512383511
10,Servicios empresariales,0.14509507346585998,0.061669567542453944,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.4572006528585096
11,Servicios personales,0.4331054275343969,0.04764892847446154,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.13592993198991044
12,Administracion publica,0.25307125307125306,0.05912259364749133,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0021562986722493023
